kit_number,player_name,position,nationality,height,foot,joined,signed_from,contract,market_value,club_name,birth_date,age
4,Syaeful Anwar,Centre-Back,Indonesia,1.84,right,2022-04-27,Persita Tangerang,2024,2175.0,Arema FC,1994-12-01,28.0
5,Bagas Adi,Centre-Back,Indonesia,1.76,left,2020-01-07,Bhayangkara FC,-,3480.0,Arema FC,1997-03-08,26.0
7,Ariel Lucero,Attacking Midfield,Argentina,1.7,left,2023-07-01,Club Atlético All Boys,-,4350.0,Arema FC,1999-04-16,24.0
8,Arkhan Fikri,Attacking Midfield,Indonesia,1.65,right,2022-06-15,PS Kwarta Deli Serdang,-,2610.0,Arema FC,2004-12-28,18.0
9,Evan Dimas,Central Midfield,Indonesia,1.67,both,2022-04-01,Bhayangkara FC,-,4350.0,Arema FC,1995-03-13,28.0
10,Muhammad Rafli,Attacking Midfield,Indonesia,1.8,both,2016-07-01,ASIFA,-,3915.0,Arema FC,1998-11-24,24.0
11,Charles Lokolingoy,Centre-Forward,Australia,1.88,right,2023-07-01,Zebbug Rangers FC,-,5220.0,Arema FC,1997-03-02,26.0
12,Rifad Marasabessy,Right-Back,Indonesia,1.68,right,2023-07-01,Borneo FC Samarinda,-,3045.0,Arema FC,1999-07-07,23.0
14,Jayus Hariono,Defensive Midfield,Indonesia,1.74,right,2018-01-01,Persekam Metro FC,-,3045.0,Arema FC,1997-01-27,26.0
15,Ichaka Diarra,Centre-Back,Mali,1.92,left,2023-07-01,Al-Ansar FC,-,4785.0,Arema FC,1995-01-18,28.0
17,Ginanjar,Centre-Forward,Indonesia,1.79,right,2023-07-01,Persija Jakarta,30-Jun-24,1740.0,Arema FC,2003-11-20,19.0
18,Julian Schwarzer,Goalkeeper,Philippines,1.81,-,2023-07-20,Kuching City,-,1740.0,Arema FC,1999-10-26,23.0
19,Achmad Syarif,Attacking Midfield,Indonesia,1.82,right,2023-07-01,Persija Jakarta,30-Jun-24,870.0,Arema FC,2003-04-24,20.0
23,Teguh Amiruddin,Goalkeeper,Indonesia,1.83,right,2020-01-21,TIRA-Persikabo,-,1305.0,Arema FC,1993-08-13,29.0
25,Asyraq Gufron,Centre-Back,Indonesia,1.75,right,2023-07-01,Bhayangkara FC,-,1740.0,Arema FC,1996-02-09,27.0
26,Achmad Figo,Right-Back,Indonesia,1.85,both,2021-08-01,Arema FC Youth,31-Dec-23,2175.0,Arema FC,2001-12-25,21.0
27,Dedik Setiawan,Centre-Forward,Indonesia,1.77,right,2016-09-25,Persekam Metro FC,-,3480.0,Arema FC,1994-06-27,29.0
28,Seiya Da Costa,Defensive Midfield,Indonesia,1.77,right,2023-07-12,Arema FC Youth,-,870.0,Arema FC,2001-09-30,21.0
29,Adixi Lenzivio,Goalkeeper,Indonesia,1.72,right,2023-07-01,PSMS Medan,-,1305.0,Arema FC,1992-09-29,30.0
41,Dendi Santoso,Right Winger,Indonesia,1.72,both,2013-07-01,Arema Indonesia,-,2175.0,Arema FC,1990-05-16,33.0
58,Mikael Tata,Left-Back,Indonesia,1.74,left,2023-07-01,Waanal Brothers FC,-,870.0,Arema FC,2004-05-10,19.0
66,Gufroni Al Maruf,Right Winger,Indonesia,1.72,right,2023-07-13,Dewa United,2024,2175.0,Arema FC,1997-07-19,26.0
79,Hamdi Sula,Right-Back,Indonesia,1.7,right,2023-07-01,PSMS Medan,-,1305.0,Arema FC,1997-11-03,25.0
86,Greg Nwokolo,Left Winger,Indonesia,1.75,right,2023-07-20,Without Club,-,1740.0,Arema FC,1986-01-03,37.0
87,Johan Alfarizi,Left-Back,Indonesia,1.73,left,2013-07-01,Arema Indonesia,-,3045.0,Arema FC,1990-05-25,33.0
97,Samsudin,Right Winger,Indonesia,1.67,right,2023-07-01,Deltras FC,-,1740.0,Arema FC,1997-03-27,26.0
1,Adilson Maringá,Goalkeeper,Brazil,1.94,right,2023-07-01,Arema FC,-,5220.0,Bali United FC,1990-08-22,32.0
2,Ardi Idrus,Right-Back,Indonesia,1.65,both,2022-05-10,PERSIB Bandung,-,3045.0,Bali United FC,1993-01-22,30.0
4,Elias Dolah,Centre-Back,Thailand,1.96,right,2023-07-01,Port FC,31-May-24,4350.0,Bali United FC,1993-04-24,30.0
5,Haudi Abdillah,Centre-Back,Indonesia,1.8,right,2019-01-12,PSIS Semarang,-,3045.0,Bali United FC,1993-04-20,30.0
7,Sidik Saimima,Central Midfield,Indonesia,1.65,right,2020-01-06,PSS Sleman,2024,2175.0,Bali United FC,1997-06-04,26.0
9,Ilija Spasojević,Centre-Forward,Indonesia,1.87,both,2017-12-13,Bhayangkara FC,31-Dec-23,5220.0,Bali United FC,1987-09-11,35.0
10,Éber Bessa,Attacking Midfield,Brazil,1.66,right,2021-09-08,CD Nacional,-,6090.0,Bali United FC,1992-03-21,31.0
11,Yabes Roni,Left Winger,Indonesia,1.68,both,2015-01-13,Without Club,-,3045.0,Bali United FC,1995-02-06,28.0
13,Rakasurya Handika,Goalkeeper,Indonesia,1.8,right,2019-01-01,Bali United FC Youth,-,870.0,Bali United FC,2000-06-13,23.0
14,Fadil Sausu,Central Midfield,Indonesia,1.74,left,2015-01-13,Persisam Putra Samarinda (- 2014),2024,870.0,Bali United FC,1985-04-19,38.0
17,Taufik Hidayat,Centre-Forward,Indonesia,1.79,right,2023-07-01,Madura United FC,-,2175.0,Bali United FC,1999-12-16,23.0
18,Kadek Agung,Attacking Midfield,Indonesia,1.7,right,2018-01-18,Bali United FC Youth,-,3045.0,Bali United FC,1998-06-25,25.0
22,Novri Setiawan,Right-Back,Indonesia,1.73,both,2022-05-10,Persija Jakarta,-,3045.0,Bali United FC,1993-11-11,29.0
23,Ryuji Utomo,Centre-Back,Indonesia,1.83,right,2023-01-11,Persija Jakarta,-,3915.0,Bali United FC,1995-07-01,28.0
24,Ricky Fajrin,Left-Back,Indonesia,1.77,left,2015-01-13,Without Club,-,4785.0,Bali United FC,1995-09-06,27.0
